my_index,age,job,marital,education,balance,duration,age_divided,smoker,travelled before,day
128,31,blue-collar,married,secondary,0,143,young_customers,no,no,day 1
129,55,services,married,secondary,2476,579,old_customers,yes,no,day 4
130,55,management,married,unknown,1185,677,old_customers,no,yes,day 1
131,32,admin.,single,secondary,217,345,young_customers,no,no,day 3
132,38,technician,single,secondary,1685,185,young_customers,yes,no,day 2
133,55,admin.,single,secondary,802,100,old_customers,yes,yes,day 1
134,28,unemployed,single,tertiary,0,125,young_customers,no,no,day 4
135,23,blue-collar,married,secondary,94,193,young_customers,yes,no,day 1
136,32,technician,single,secondary,0,136,young_customers,no,no,day 3
137,43,services,single,unknown,0,73,old_customers,no,yes,day 2
138,32,blue-collar,married,secondary,517,528,young_customers,yes,no,day 1
139,46,blue-collar,married,secondary,265,541,old_customers,yes,no,day 4
140,53,housemaid,divorced,primary,947,163,old_customers,no,yes,day 1
141,34,self-employed,single,secondary,3,301,young_customers,yes,no,day 3
142,57,unemployed,married,tertiary,42,46,old_customers,no,no,day 2
143,37,blue-collar,married,secondary,37,204,young_customers,no,no,day 1
144,59,blue-collar,married,secondary,57,98,old_customers,yes,yes,day 4
145,33,services,married,secondary,22,71,young_customers,yes,no,day 1
146,56,blue-collar,divorced,primary,8,157,old_customers,no,no,day 3
147,48,unemployed,married,secondary,293,243,old_customers,yes,yes,day 2
148,43,services,married,primary,3,186,old_customers,no,no,day 1
149,54,blue-collar,married,primary,348,579,old_customers,no,no,day 4
150,51,blue-collar,married,unknown,-19,163,old_customers,yes,no,day 1
151,26,student,single,secondary,0,610,young_customers,yes,yes,day 3
152,40,management,married,tertiary,-4,2033,young_customers,no,no,day 2
153,39,management,married,secondary,18,85,young_customers,yes,no,day 1
154,50,technician,married,primary,139,114,old_customers,no,yes,day 4
155,41,services,married,secondary,0,114,young_customers,no,no,day 1
156,51,blue-collar,married,unknown,1883,57,old_customers,yes,no,day 3
157,60,retired,divorced,secondary,216,238,old_customers,yes,no,day 2
158,52,blue-collar,married,secondary,782,93,old_customers,no,yes,day 1
159,48,blue-collar,married,secondary,904,128,old_customers,yes,no,day 4
160,48,services,married,unknown,1705,107,old_customers,no,no,day 1
161,39,technician,single,tertiary,47,181,young_customers,no,yes,day 3
162,47,services,single,secondary,176,303,old_customers,yes,no,day 2
163,40,blue-collar,married,secondary,1225,558,young_customers,yes,no,day 1
164,45,technician,married,secondary,86,270,old_customers,no,no,day 4
165,26,admin.,single,secondary,82,228,young_customers,yes,yes,day 1
166,52,management,married,tertiary,271,99,old_customers,no,no,day 3
167,54,technician,married,secondary,1378,240,old_customers,no,no,day 2
168,54,admin.,married,tertiary,184,673,old_customers,yes,yes,day 1
169,50,blue-collar,married,primary,0,233,old_customers,yes,no,day 4
170,35,blue-collar,married,secondary,0,1056,young_customers,no,no,day 1
171,44,services,married,secondary,1357,250,old_customers,yes,no,day 3
172,53,entrepreneur,married,unknown,19,252,old_customers,no,yes,day 2
173,35,retired,single,primary,434,138,young_customers,no,no,day 1
174,60,admin.,divorced,secondary,92,130,old_customers,yes,no,day 4
175,53,admin.,divorced,secondary,1151,412,old_customers,yes,yes,day 1
176,48,unemployed,married,secondary,41,179,old_customers,no,no,day 3
177,34,technician,married,secondary,51,19,young_customers,yes,no,day 2
178,54,services,married,secondary,214,458,old_customers,no,no,day 1
179,51,management,married,secondary,1161,717,old_customers,no,yes,day 4
180,31,services,married,tertiary,37,313,young_customers,yes,no,day 1
181,35,technician,divorced,secondary,787,683,young_customers,yes,no,day 3
182,35,services,married,secondary,59,1077,young_customers,no,yes,day 2
183,38,technician,married,secondary,253,416,young_customers,yes,no,day 1
184,36,admin.,married,tertiary,211,146,young_customers,no,no,day 4
185,58,retired,married,primary,235,167,old_customers,no,no,day 1
186,40,services,divorced,unknown,4384,315,young_customers,yes,yes,day 3
187,54,management,married,secondary,4080,140,old_customers,yes,no,day 2
188,34,blue-collar,single,secondary,53,346,young_customers,no,no,day 1
189,31,management,single,tertiary,0,562,young_customers,yes,yes,day 4
190,51,retired,married,secondary,2127,172,old_customers,no,no,day 1
191,33,management,married,tertiary,377,217,young_customers,no,no,day 3
192,55,management,married,tertiary,73,142,old_customers,yes,no,day 2
193,42,admin.,married,secondary,445,67,young_customers,yes,yes,day 1
194,34,blue-collar,married,secondary,243,291,young_customers,no,no,day 4
195,33,blue-collar,single,secondary,307,309,young_customers,yes,no,day 1
196,38,services,married,secondary,155,248,young_customers,no,yes,day 3
197,50,technician,divorced,tertiary,173,98,old_customers,no,no,day 2
198,43,management,married,tertiary,400,256,old_customers,yes,no,day 1
199,61,blue-collar,divorced,primary,1428,82,old_customers,yes,no,day 4
200,47,admin.,married,secondary,219,577,old_customers,no,yes,day 1
201,48,self-employed,married,tertiary,7,286,old_customers,yes,no,day 3
202,44,blue-collar,married,secondary,575,477,old_customers,no,no,day 2
203,35,student,single,unknown,298,611,young_customers,no,yes,day 1
204,35,services,married,secondary,0,471,young_customers,yes,no,day 4
205,50,services,married,secondary,5699,381,old_customers,yes,no,day 1
206,41,management,married,tertiary,176,42,young_customers,no,no,day 3
207,41,management,married,tertiary,517,251,young_customers,yes,yes,day 2
208,39,services,single,unknown,257,408,young_customers,no,no,day 1
209,42,retired,married,secondary,56,215,young_customers,no,no,day 4
210,38,blue-collar,married,secondary,-390,287,young_customers,yes,yes,day 1
211,53,retired,married,secondary,330,216,old_customers,yes,no,day 3
212,59,housemaid,divorced,primary,195,366,old_customers,no,no,day 2
213,36,services,married,secondary,301,210,young_customers,yes,no,day 1
214,54,blue-collar,married,primary,-41,288,old_customers,no,yes,day 4
215,40,technician,married,tertiary,483,168,young_customers,no,no,day 1
216,47,unknown,married,unknown,28,338,old_customers,yes,no,day 3
217,53,unemployed,married,unknown,13,410,old_customers,yes,yes,day 2
218,46,housemaid,married,primary,965,177,old_customers,no,no,day 1
219,39,management,married,tertiary,378,127,young_customers,yes,no,day 4
220,40,unemployed,married,secondary,219,0,young_customers,no,no,day 1
221,28,blue-collar,married,primary,324,175,young_customers,no,yes,day 3
222,35,entrepreneur,divorced,secondary,-69,300,young_customers,yes,no,day 2
223,55,retired,married,secondary,0,136,old_customers,yes,no,day 1
224,43,technician,divorced,unknown,205,1419,old_customers,no,yes,day 4
225,48,blue-collar,married,primary,278,125,old_customers,yes,no,day 1
226,58,management,married,unknown,1065,213,old_customers,no,no,day 3
227,33,management,single,tertiary,34,27,young_customers,no,no,day 2
228,36,blue-collar,married,unknown,1033,238,young_customers,yes,yes,day 1
229,53,services,divorced,secondary,1467,124,old_customers,yes,no,day 4
230,47,blue-collar,married,primary,-12,18,old_customers,no,no,day 1
231,31,services,married,secondary,388,730,young_customers,yes,yes,day 3
232,57,entrepreneur,married,secondary,294,746,old_customers,no,no,day 2
233,53,blue-collar,married,unknown,1827,121,old_customers,no,no,day 1
234,55,blue-collar,married,primary,627,247,old_customers,yes,no,day 4
235,45,blue-collar,married,primary,25,40,old_customers,yes,yes,day 1
236,53,admin.,divorced,secondary,315,181,old_customers,no,no,day 3
237,37,blue-collar,married,primary,0,79,young_customers,yes,no,day 2
238,44,admin.,divorced,secondary,66,206,old_customers,no,yes,day 1
239,49,blue-collar,divorced,primary,-9,389,old_customers,no,no,day 4
240,46,technician,married,secondary,349,127,old_customers,yes,no,day 1
241,43,entrepreneur,married,unknown,100,702,old_customers,yes,no,day 3
242,38,admin.,married,secondary,0,151,young_customers,no,yes,day 2
243,43,technician,married,secondary,434,117,old_customers,yes,no,day 1
244,49,management,married,tertiary,3237,232,old_customers,no,no,day 4
245,42,management,married,unknown,275,408,young_customers,no,yes,day 1
246,22,blue-collar,single,secondary,0,179,young_customers,yes,no,day 3
247,40,management,married,tertiary,207,39,young_customers,yes,no,day 2
248,39,blue-collar,married,secondary,483,282,young_customers,no,no,day 1
249,51,services,married,secondary,2248,714,old_customers,yes,yes,day 4
250,49,admin.,married,secondary,428,50,old_customers,no,no,day 1
251,53,blue-collar,married,secondary,0,181,old_customers,no,no,day 3
252,34,services,single,secondary,0,142,young_customers,yes,yes,day 2
253,33,technician,divorced,secondary,140,227,young_customers,yes,no,day 1
254,50,management,single,tertiary,297,119,old_customers,no,no,day 4
255,39,blue-collar,married,primary,279,361,young_customers,yes,no,day 1
256,59,entrepreneur,divorced,secondary,901,73,old_customers,no,yes,day 3
257,30,technician,single,secondary,2573,67,young_customers,no,no,day 2
258,36,services,married,secondary,143,350,young_customers,yes,no,day 1
259,40,blue-collar,married,secondary,475,332,young_customers,yes,yes,day 4
260,53,blue-collar,married,secondary,70,611,old_customers,no,no,day 1
261,34,management,single,tertiary,318,113,young_customers,yes,no,day 3
262,37,technician,married,secondary,275,132,young_customers,no,no,day 2
263,42,management,divorced,tertiary,742,58,young_customers,no,yes,day 1
264,41,entrepreneur,married,primary,236,151,young_customers,yes,no,day 4
265,30,student,single,tertiary,25,89,young_customers,yes,no,day 1
266,37,management,single,tertiary,600,152,young_customers,no,yes,day 3
267,39,admin.,divorced,secondary,-349,611,young_customers,yes,no,day 2
268,41,blue-collar,married,primary,183,110,young_customers,no,no,day 1
269,40,blue-collar,married,primary,0,463,young_customers,no,no,day 4
270,42,management,single,tertiary,0,562,young_customers,yes,yes,day 1
271,40,blue-collar,divorced,primary,0,962,young_customers,yes,no,day 3
272,57,technician,married,secondary,1078,10,old_customers,no,no,day 2
273,56,entrepreneur,divorced,secondary,155,118,old_customers,yes,yes,day 1
274,37,admin.,married,secondary,190,92,young_customers,no,no,day 4
275,59,retired,married,secondary,319,143,old_customers,no,no,day 1
276,39,services,divorced,secondary,-185,189,young_customers,yes,no,day 3
277,49,services,married,secondary,47,234,old_customers,yes,yes,day 2
278,38,services,single,secondary,570,75,young_customers,no,no,day 1
279,36,self-employed,married,tertiary,19,189,young_customers,yes,no,day 4
280,50,blue-collar,married,primary,61,621,old_customers,no,yes,day 1
281,41,admin.,married,secondary,-62,55,young_customers,no,no,day 3
282,54,technician,married,tertiary,258,310,old_customers,yes,no,day 2
283,58,blue-collar,married,primary,76,156,old_customers,yes,no,day 1
284,30,blue-collar,single,secondary,0,5,young_customers,no,yes,day 4
285,33,admin.,single,secondary,352,225,young_customers,yes,no,day 1
286,47,admin.,married,secondary,368,125,old_customers,no,no,day 3
287,50,technician,single,tertiary,339,2,old_customers,no,yes,day 2
288,32,blue-collar,married,secondary,1331,286,young_customers,yes,no,day 1
289,40,self-employed,married,secondary,672,164,young_customers,yes,no,day 4
290,37,management,married,tertiary,58,98,young_customers,no,no,day 1
291,54,technician,single,unknown,447,742,old_customers,yes,yes,day 3
292,24,student,single,secondary,423,226,young_customers,no,no,day 2
293,54,management,married,tertiary,0,120,old_customers,no,no,day 1
294,34,technician,married,secondary,19,362,young_customers,yes,yes,day 4
295,56,technician,divorced,primary,13,357,old_customers,yes,no,day 1
296,31,blue-collar,single,secondary,3,200,young_customers,no,no,day 3
297,24,student,single,secondary,82,204,young_customers,yes,no,day 2
298,42,blue-collar,divorced,primary,28,126,young_customers,no,yes,day 1
299,57,technician,married,secondary,792,65,old_customers,no,no,day 4
300,42,blue-collar,married,unknown,408,107,young_customers,yes,no,day 1
301,51,admin.,married,secondary,531,267,old_customers,yes,yes,day 3
302,57,retired,married,secondary,211,248,old_customers,no,no,day 2
303,36,services,single,secondary,62,215,young_customers,yes,no,day 1
304,53,services,married,unknown,257,209,old_customers,no,no,day 4
305,50,technician,married,secondary,1234,205,old_customers,no,yes,day 1
306,54,management,married,tertiary,313,83,old_customers,yes,no,day 3
307,55,blue-collar,married,secondary,89,106,old_customers,yes,no,day 2
308,44,blue-collar,married,secondary,129,189,old_customers,no,yes,day 1
309,43,management,married,unknown,0,105,old_customers,yes,no,day 4
310,56,admin.,married,secondary,353,106,old_customers,no,no,day 1
311,54,technician,married,unknown,851,108,old_customers,no,no,day 3
312,55,services,divorced,primary,96,311,old_customers,yes,yes,day 2
313,37,services,divorced,secondary,398,214,young_customers,yes,no,day 1
314,33,admin.,single,tertiary,193,132,young_customers,no,no,day 4
315,46,admin.,married,secondary,-358,358,old_customers,yes,yes,day 1
316,36,blue-collar,married,secondary,539,453,young_customers,no,no,day 3
317,51,technician,single,secondary,0,364,old_customers,no,no,day 2
318,40,retired,single,primary,0,136,young_customers,yes,no,day 1
319,42,blue-collar,married,secondary,490,386,young_customers,yes,yes,day 4
320,51,blue-collar,married,secondary,0,173,old_customers,no,no,day 1
321,49,blue-collar,married,unknown,403,241,old_customers,yes,no,day 3
322,48,management,married,secondary,161,224,old_customers,no,yes,day 2
323,32,technician,divorced,tertiary,2558,148,young_customers,no,no,day 1
324,31,admin.,single,secondary,98,196,young_customers,yes,no,day 4
325,55,management,single,tertiary,115,111,old_customers,yes,no,day 1
326,40,blue-collar,single,secondary,436,231,young_customers,no,yes,day 3
327,47,technician,married,tertiary,831,316,old_customers,yes,no,day 2
328,57,technician,married,unknown,206,216,old_customers,no,no,day 1
329,41,blue-collar,married,secondary,290,240,young_customers,no,yes,day 4
330,48,blue-collar,married,secondary,1,0,old_customers,yes,no,day 1
331,42,blue-collar,married,unknown,57,425,young_customers,yes,no,day 3
332,30,blue-collar,single,secondary,-457,143,young_customers,no,no,day 2
333,58,management,single,tertiary,1387,174,old_customers,yes,yes,day 1
334,45,management,divorced,tertiary,24598,313,old_customers,no,no,day 4
335,49,blue-collar,married,secondary,30,135,old_customers,no,no,day 1
336,42,admin.,single,secondary,1022,146,young_customers,yes,yes,day 3
337,53,technician,married,secondary,56,152,old_customers,yes,no,day 2
338,51,admin.,single,secondary,-2,402,old_customers,no,no,day 1
339,32,services,single,secondary,121,213,young_customers,yes,no,day 4
340,41,blue-collar,single,secondary,842,144,young_customers,no,yes,day 1
341,43,management,divorced,secondary,693,124,old_customers,no,no,day 3
342,40,blue-collar,divorced,secondary,-333,183,young_customers,yes,no,day 2
343,50,blue-collar,married,primary,1533,325,old_customers,yes,yes,day 1
344,34,management,married,tertiary,46,39,young_customers,no,no,day 4
345,53,services,married,unknown,18,503,old_customers,yes,no,day 1
346,45,technician,married,secondary,44,95,old_customers,no,no,day 3
347,39,blue-collar,married,primary,-100,680,young_customers,no,yes,day 2
348,44,services,married,tertiary,510,421,old_customers,yes,no,day 1
349,55,management,married,tertiary,685,174,old_customers,yes,no,day 4
350,46,management,single,tertiary,187,113,old_customers,no,yes,day 1
351,45,blue-collar,married,secondary,66,808,old_customers,yes,no,day 3
352,34,admin.,married,secondary,560,198,young_customers,no,no,day 2
353,36,blue-collar,married,secondary,0,195,young_customers,no,no,day 1
354,59,unknown,divorced,unknown,27,347,old_customers,yes,yes,day 4
355,31,admin.,single,secondary,12,208,young_customers,yes,no,day 1
356,44,blue-collar,single,secondary,34,404,old_customers,no,no,day 3
357,33,entrepreneur,single,tertiary,1068,396,young_customers,yes,yes,day 2
358,40,blue-collar,married,secondary,211,216,young_customers,no,no,day 1
359,46,admin.,single,tertiary,377,98,old_customers,no,no,day 4
360,48,management,married,tertiary,263,350,old_customers,yes,no,day 1
361,42,services,married,secondary,1263,114,young_customers,yes,yes,day 3
362,27,services,married,secondary,8,88,young_customers,no,no,day 2
363,48,admin.,married,secondary,126,379,old_customers,yes,no,day 1
364,59,admin.,married,secondary,230,190,old_customers,no,yes,day 4
365,46,technician,married,tertiary,841,158,old_customers,no,no,day 1
366,38,admin.,divorced,secondary,308,102,young_customers,yes,no,day 3
367,43,management,divorced,tertiary,1,306,old_customers,yes,no,day 2
368,38,admin.,divorced,tertiary,86,218,young_customers,no,yes,day 1
369,23,student,single,secondary,157,54,young_customers,yes,no,day 4
370,34,services,married,secondary,22,344,young_customers,no,no,day 1
371,38,admin.,married,secondary,46,195,young_customers,no,yes,day 3
372,37,blue-collar,married,secondary,1293,652,young_customers,yes,no,day 2
373,25,admin.,single,secondary,122,286,young_customers,yes,no,day 1
374,48,blue-collar,married,unknown,131,189,old_customers,no,no,day 4
375,49,blue-collar,single,secondary,143,83,old_customers,yes,yes,day 1
376,38,admin.,single,secondary,393,184,young_customers,no,no,day 3
377,43,blue-collar,married,primary,98,235,old_customers,no,no,day 2
378,33,management,married,tertiary,0,290,young_customers,yes,yes,day 1
379,55,blue-collar,married,secondary,224,232,old_customers,yes,no,day 4
380,38,blue-collar,married,secondary,757,133,young_customers,no,no,day 1
381,49,services,married,secondary,245,318,old_customers,yes,no,day 3
382,40,management,married,secondary,8486,260,young_customers,no,yes,day 2
383,43,admin.,married,unknown,350,437,old_customers,no,no,day 1
384,38,blue-collar,married,secondary,20,402,young_customers,yes,no,day 4
385,58,services,married,secondary,1667,85,old_customers,yes,yes,day 1
386,57,technician,married,unknown,345,125,old_customers,no,no,day 3
387,32,unemployed,married,secondary,10,501,young_customers,yes,no,day 2
388,56,management,married,tertiary,830,1201,old_customers,no,no,day 1
389,58,blue-collar,divorced,unknown,29,253,old_customers,no,yes,day 4
390,60,retired,divorced,secondary,545,1030,old_customers,yes,no,day 1
391,37,technician,married,tertiary,8730,149,young_customers,yes,no,day 3
392,46,technician,divorced,tertiary,477,114,old_customers,no,yes,day 2
393,27,admin.,married,secondary,4,243,young_customers,yes,no,day 1
394,43,blue-collar,married,secondary,1205,769,old_customers,no,no,day 4
395,32,technician,single,secondary,0,135,young_customers,no,no,day 1
396,40,admin.,single,secondary,263,231,young_customers,yes,yes,day 3
397,38,admin.,married,secondary,1,76,young_customers,yes,no,day 2
398,34,blue-collar,married,secondary,283,199,young_customers,no,no,day 1
399,47,blue-collar,married,primary,206,152,old_customers,yes,yes,day 4
400,42,housemaid,married,primary,17,124,young_customers,no,no,day 1
401,48,technician,married,secondary,141,424,old_customers,no,no,day 3
402,29,self-employed,single,tertiary,16,43,young_customers,yes,no,day 2
403,50,services,married,secondary,206,154,old_customers,yes,yes,day 1
404,52,technician,married,unknown,7,203,old_customers,no,no,day 4
405,50,management,married,tertiary,0,326,old_customers,yes,no,day 1
406,58,retired,married,tertiary,0,393,old_customers,no,yes,day 3
407,46,blue-collar,divorced,primary,1927,241,old_customers,no,no,day 2
408,38,technician,married,secondary,284,483,young_customers,yes,no,day 1
409,46,blue-collar,married,secondary,1660,259,old_customers,yes,no,day 4
410,32,services,single,secondary,406,227,young_customers,no,yes,day 1
411,51,blue-collar,married,primary,230,673,old_customers,yes,no,day 3
412,39,admin.,single,secondary,-25,576,young_customers,no,no,day 2
413,48,admin.,married,secondary,182,180,old_customers,no,yes,day 1
414,36,entrepreneur,married,tertiary,1169,168,young_customers,yes,no,day 4
415,34,admin.,divorced,secondary,67,90,young_customers,yes,no,day 1
416,40,technician,married,secondary,77,505,young_customers,no,no,day 3
417,43,unemployed,married,secondary,0,245,old_customers,yes,yes,day 2
418,52,blue-collar,divorced,primary,55,186,old_customers,no,no,day 1
419,33,technician,married,secondary,72,623,young_customers,no,no,day 4
420,49,management,single,tertiary,163,496,old_customers,yes,yes,day 1
421,32,management,single,tertiary,151,118,young_customers,yes,no,day 3
422,39,admin.,single,secondary,113,342,young_customers,no,no,day 2
423,40,blue-collar,married,secondary,0,225,young_customers,yes,no,day 1
424,38,technician,single,tertiary,9,185,young_customers,no,yes,day 4
425,43,management,married,secondary,375,196,old_customers,no,no,day 1
426,39,services,married,secondary,1142,276,young_customers,yes,no,day 3
427,54,blue-collar,married,primary,2102,76,old_customers,yes,yes,day 2
428,38,technician,single,tertiary,4325,87,young_customers,no,no,day 1
429,40,blue-collar,married,secondary,217,195,young_customers,yes,no,day 4
430,55,admin.,married,secondary,131,744,old_customers,no,no,day 1
431,42,management,married,tertiary,1680,765,young_customers,no,yes,day 3
